Month,Liquidity,FSI
2024-11-29,1.0491396402664277,1.972620158354425
2024-12-27,1.2563179560595799,2.362162318827654
2025-01-24,1.270189382247562,2.3882437419989206
2025-02-21,1.2500322487254218,2.350343765299615
2025-03-21,1.358702639037725,2.5546687133988546
2025-04-18,1.210077944722289,2.2752206239515425
2025-05-30,1.4137695692263932,2.6582070150507464
2025-06-27,1.4034736341368232,2.6388483250086496
2025-07-25,0.9658478837084583,1.8160127900833383
,-1.1463183382166395,-2.1553381218950465
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
